år,arrangørlag
2050,Molde
2049,Kristiansund
2048,Aalesund
2047,Molde
2046,Kristiansund
2045,Aalesund
2044,Molde
2043,Kristiansund
2042,Aalesund
2041,Molde
2040,Kristiansund
2039,Aalesund
2038,Molde
2037,Kristiansund
2036,Aalesund
2035,Molde
2034,Kristiansund
2033,Aalesund
2032,Molde
2031,Kristiansund
2030,Aalesund
2029,Molde
2028,Kristiansund
2027,Aalesund
2026,Molde
2025,Kristiansund
2024,Aalesund
2023,Molde
2022,Kristiansund
2021,Aalesund
2019,Molde
2018,Kristiansund
2017,Aalesund
2016,Molde
2015,Kristiansund
2014,Aalesund
2013,Molde
2012,Kristiansund
2011,Molde
2010,Aalesund
2009,Kristiansund
2008,Aalesund
2007,Molde
2006,Kristiansund
2005,Aalesund
2004,Molde
2003,Kristiansund
2002,Aalesund
2001,Molde
2000,Kristiansund
1999,Aalesund
1998,Molde
1997,Kristiansund
1996,Aalesund
1995,Molde
1994,Kristiansund
1993,Aalesund
1992,Molde
1991,Kristiansund
1990,Aalesund
1989,Molde
1988,Kristiansund
1987,Aalesund
1986,Molde
1985,Kristiansund
1984,Aalesund
1983,Molde
1982,Kristiansund
1981,Aalesund
1980,Molde
1979,Kristiansund
1978,Aalesund
1977,Molde
1976,Kristiansund
1975,Aalesund
1974,Molde
1973,Kristiansund
1972,Aalesund
1971,Molde
1970,Kristiansund
1969,Aalesund
1968,Molde
1967,Kristiansund
1966,Aalesund
1965,Molde
1964,Aalesund
1963,Molde
1962,Aalesund
1961,Molde
1960,Aalesund
1959,Molde
1958,Aalesund
1957,Molde
1956,Aalesund
1955,Molde
1954,Aalesund
1953,Molde
1952,Aalesund
1951,Molde
1950,Aalesund
1949,Molde
1934,Molde
1933,Aalesund
1932,Molde
1931,Aalesund
1930,Molde
1929,Aalesund
