år,skytterlag,sum
2023,Kristiansund,2611
2023,Aalesund,2560
2023,Molde,2543
2022,Kristiansund,2598
2022,Aalesund,2577
2022,Molde,2488
2021,Aalesund,2650
2021,Kristiansund,2609
2021,Molde,2565
2019,Aalesund,2626
2019,Kristiansund,2578
2019,Molde,2559
2018,Kristiansund,2643
2018,Aalesund,2584
2018,Molde,2577
2017,Aalesund,2629
2017,Molde,2553
2017,Kristiansund,2311
2016,Kristiansund,2638
2016,Aalesund,2628
2016,Molde,2598
2015,Kristiansund,2654
2015,Aalesund,2574
2015,Molde,2546
2014,Kristiansund,2642
2014,Aalesund,2603
2014,Molde,2484
2013,Kristiansund,2627
2013,Molde,2574
2013,Aalesund,2569
2012,Kristiansund,2637
2012,Aalesund,2594
2012,Molde,2570
2011,Molde,2598
2011,Kristiansund,2575
2011,Aalesund,2543
2010,Aalesund,2618
2010,Kristiansund,2606
2010,Molde,2565
2009,Kristiansund,2642
2009,Molde,2578
2009,Aalesund,2236
2008,Kristiansund,2571
2008,Molde,2542
2008,Aalesund,2512
2007,Molde,2605
2007,Kristiansund,2588
2007,Aalesund,2576
2006,Kristiansund,2643
2006,Aalesund,2562
2006,Molde,2557
2005,Kristiansund,2626
2005,Aalesund,2572
2005,Molde,2480
2004,Kristiansund,2621
2004,Aalesund,2600
2004,Molde,2521
2003,Kristiansund,2594
2003,Aalesund,2593
2003,Molde,2113
2002,Aalesund,2633
2002,Kristiansund,2612
2002,Molde,2261
2001,Kristiansund,2636
2001,Aalesund,2560
2001,Molde,2554
2000,Kristiansund,2674
2000,Aalesund,2623
2000,Molde,2549
1999,Kristiansund,2649
1999,Molde,2597
1999,Aalesund,2586
1998,Molde,2618
1998,Aalesund,2584
1998,Kristiansund,2570
1997,Kristiansund,2657
1997,Aalesund,2569
1997,Molde,2537
1996,Kristiansund,2628
1996,Aalesund,2608
1996,Molde,1917
1995,Kristiansund,2616
1995,Molde,2612
1995,Aalesund,2578
1994,Molde,2602
1994,Kristiansund,2594
1994,Aalesund,2555
1993,Kristiansund,2642
1993,Aalesund,2607
1993,Molde,2607
1992,Molde,2633
1992,Kristiansund,2625
1992,Aalesund,2534
1991,Kristiansund,2598
1991,Molde,2583
1991,Aalesund,2528
1990,Kristiansund,2547
1990,Aalesund,2546
1990,Molde,2517
1989,Kristiansund,2580
1989,Molde,2566
1989,Aalesund,2479
1988,Kristiansund,2592
1988,Aalesund,2557
1988,Molde,2545
1987,Kristiansund,2572
1987,Molde,2571
1987,Aalesund,2568
1986,Aalesund,2529
1986,Molde,2489
1986,Kristiansund,2474
1985,Molde,2585
1985,Kristiansund,2545
1985,Aalesund,2488
1984,Kristiansund,2515
1984,Aalesund,2511
1984,Molde,2504
1983,Molde,2534
1983,Aalesund,2516
1983,Kristiansund,
1982,Aalesund,2577
1982,Kristiansund,2552
1982,Molde,2505
1981,Aalesund,3137
1981,Kristiansund,3066
1981,Molde,2997
1980,Aalesund,3169
1980,Molde,3149
1980,Kristiansund,3074
1979,Aalesund,3200
1979,Molde,3163
1979,Kristiansund,3092
1978,Molde,3204
1978,Aalesund,3141
1978,Kristiansund,3072
1977,Aalesund,3080
1977,Molde,3076
1977,Kristiansund,3024
1976,Kristiansund,3182
1976,Molde,3169
1976,Aalesund,3055
1975,Aalesund,3123
1975,Kristiansund,3046
1975,Molde,3027
1974,Aalesund,3048
1974,Molde,3014
1974,Kristiansund,2979
1973,Aalesund,3122
1973,Kristiansund,3067
1973,Molde,2891
1972,Aalesund,3167
1972,Kristiansund,3073
1972,Molde,1494
1971,Aalesund,3076
1971,Molde,2893
1971,Kristiansund,2882
1970,Kristiansund,3001
1970,Aalesund,3000
1970,Molde,2928
1969,Aalesund,3044
1969,Molde,2971
1969,Kristiansund,2934
1968,Aalesund,3032
1968,Kristiansund,2827
1968,Molde,2827
1967,Aalesund,3037
1967,Kristiansund,2949
1967,Molde,2902
1966,Aalesund,3016
1966,Kristiansund,2891
1966,Molde,2836
1965,Aalesund,2979
1965,Kristiansund,2945
1965,Molde,2876
1964,Aalesund,2945
1964,Molde,2877
1963,Aalesund,
1963,Molde,
1962,Aalesund,3032
1962,Molde,
1961,Molde,2968
1961,Aalesund,
1960,Aalesund,2950
1960,Molde,2923
1959,Aalesund,2898
1959,Molde,2789
1958,Aalesund,
1958,Molde,2827
1957,Molde,2925
1957,Aalesund,2804
1956,Aalesund,
1956,Molde,
1955,Molde,2755
1955,Aalesund,2744
1954,Molde,2824
1954,Aalesund,2818
1953,Molde,2819
1953,Aalesund,2676
1952,Aalesund,2755
1952,Molde,2724
1951,Molde,2756
1951,Aalesund,2483
1950,Molde,
1950,Aalesund,
1949,Molde,2601
1949,Aalesund,2599
1934,Molde,1154
1934,Aalesund,1144
1933,Molde,1181
1933,Aalesund,1146
1932,Molde,1160
1932,Aalesund,1109
1931,Molde,702
1931,Aalesund,673
1930,Molde,684
1930,Aalesund,670
1929,Molde,714
1929,Aalesund,638
