år,skytter,skytterlag,1_serie,2_serie,3_serie,15_skudd,anvisning
2023,Karl Tore Gjengstø,Aalesund,52.9,53.4,52.1,158.4,1_6.pdf
2023,Helge Hollund Surdal,Aalesund,52.5,52.1,51.8,156.4,2_2.pdf
2023,Roger Hals,Kristiansund,52.0,52.1,51.6,155.7,2_8.pdf
2023,Kjell Gujord,Kristiansund,52.2,51.6,51.8,155.6,1_7.pdf
2023,Roy Gjerde,Molde,52.6,50.8,51.7,155.1,2_1.pdf
2023,Marita Gujord,Kristiansund,51.9,52.4,50.1,154.4,2_4.pdf
2023,Anita Garseth,Aalesund,50.9,53.0,50.1,154.0,1_3.pdf
2023,Finn Arne Meringdal,Molde,52.1,50.8,50.4,153.3,1_1.pdf
2023,Lars Rasmus Sandvik,Molde,51.4,50.0,51.8,153.2,1_4.pdf
2023,Rune Halås Rangnes,Molde,50.2,48.7,52.4,151.3,2_5.pdf
2023,Jan Kåre Iversen,Molde,50.5,50.6,49.7,150.8,2_7.pdf
2023,Per Inge Aakvik,Aalesund,49.9,48.8,50.8,149.5,2_6.pdf
2023,Clas Kjøl,Kristiansund,51.8,46.3,48.7,146.8,1_5.pdf
2023,Alf Knarvik,Kristiansund,48.7,47.3,50.6,146.6,1_2.pdf
2023,Ronny Vedå,Aalesund,48.7,49.0,48.6,146.3,1_8.pdf
2023,Odd Erik Lystad,Molde,48.0,49.3,47.6,144.9,2_3.pdf
2022,Lars Rasmus Sandvik,Molde,51.8,53.2,52.1,157.1,3_5.pdf
2022,Helge Hollund Surdal,Aalesund,52.0,52.0,52.2,156.2,3_6.pdf
2022,Roger Hals,Kristiansund,51.3,52.3,52.3,155.9,2_7.pdf
2022,Kjell Gujord,Kristiansund,51.4,52.0,51.2,154.6,3_7.pdf
2022,Rune Halås Rangnes,Molde,51.8,51.8,50.1,153.7,1_1.pdf
2022,Karl Tore Gjengstø,Aalesund,51.8,49.9,51.8,153.5,1_6.pdf
2022,Rune Djuvsland,Kristiansund,50.6,52.4,50.4,153.4,3_3.pdf
2022,Odd Erik Lystad,Molde,49.6,52.4,50.8,152.8,1_3.pdf
2022,Per Inge Aakvik,Aalesund,51.1,50.3,50.9,152.3,2_2.pdf
2022,Clas Kjøl,Kristiansund,51.6,50.6,49.6,151.8,1_5.pdf
2022,Lars Ulvund,Kristiansund,50.7,50.1,50.2,151.0,1_7.pdf
2022,Anita Garseth,Aalesund,51.2,48.1,50.8,150.1,2_6.pdf
2022,Jan Kåre Iversen,Molde,50.8,49.6,49.5,149.9,2_1.pdf
2022,Alf Knarvik,Kristiansund,48.3,51.0,50.5,149.8,2_8.pdf
2022,Ronny Vedå,Aalesund,50.4,48.4,49.3,148.1,1_2.pdf
2022,Ola Gujord,Kristiansund,51.2,48.2,47.5,146.9,3_1.pdf
2021,Roger Hals,Kristiansund,52.2,51.8,53.0,157.0,102_5.pdf
2021,Karl Tore Gjengstø,Aalesund,50.6,52.9,53.3,156.8,101_6.pdf
2021,Lars Rasmus Sandvik,Molde,52.2,51.3,53.1,156.6,101_1.pdf
2021,Reidulf Hjellen,Aalesund,52.4,51.1,53.1,156.6,102_8.pdf
2021,Roy Gjerde,Molde,51.6,53.1,51.5,156.2,102_3.pdf
2021,Helge Hollund Surdal,Aalesund,52.7,52.5,50.7,155.9,101_7.pdf
2021,Per Inge Aakvik,Aalesund,52.1,51.5,52.0,155.6,101_8.pdf
2021,Lars Ulvund,Kristiansund,51.4,51.1,52.8,155.3,101_5.pdf
2021,Clas Kjøl,Kristiansund,51.9,51.6,51.7,155.2,102_4.pdf
2021,Kjell Gujord,Kristiansund,52.0,51.5,51.0,154.5,101_4.pdf
2021,Jan Kåre Iversen,Molde,52.8,50.9,50.5,154.2,101_2.pdf
2021,Odd Erik Lystad,Molde,50.0,51.6,52.4,154.0,102_2.pdf
2021,Inge R Fivelstad,Aalesund,50.7,50.5,51.7,152.9,102_6.pdf
2021,Anita Garseth,Aalesund,52.4,51.3,49.1,152.8,102_7.pdf
