år,skytter,skytterlag
2023,Bjørn Brevik,Kristiansund
2023,Odd Magne Lystad,Molde
2023,Beate Hjellen,Aalesund
2019,Simen Sollid,Kristiansund
2019,Rune Halås Rangnes,Molde
2019,Helge Hollund Surdal,Aalesund
2016,Marita Gujord,Kristiansund
2016,Odd Erik Lystad,Molde
2016,Ronny Vedå,Aalesund
2013,Roger Hals,Kristiansund
2013,Bård Haugros,Molde
2013,Per Inge Aakvik,Aalesund
2011,Anders Guldbrandsen,Kristiansund
2011,Svein Kåre Djønne,Molde
2011,Kristoffer Sunde,Aalesund
2007,Alf Knarvik,Kristiansund
2007,Øyvind Berild,Molde
2007,Karl Tore Gjengstø,Aalesund
2004,Rune Djuvsland,Kristiansund
2004,Lars Rasmus Sandvik,Molde
2004,Anita Garseth,Aalesund
2001,Anne Lise Brevik,Kristiansund
2001,Stig Strand,Molde
2001,Reidar Eidskrem,Aalesund
1998,Clas Kjøl,Kristiansund
1998,Jogeir Storås,Molde
1998,Harald Reiten,Aalesund
1995,Torfinn Brevik,Kristiansund
1995,Geir Olsen,Molde
1995,Einar Nedregotten,Aalesund
1992,Ola Gujord,Kristiansund
1992,Jan Kåre Iversen,Molde
1992,Petter Øie,Aalesund
1989,Kjell Gujord,Kristiansund
1989,Finn Arne Meringdal,Molde
1989,Inge R Fivelstad,Aalesund
1986,Lars Ulvund,Kristiansund
1986,Roy Gjerde,Molde
1986,Gunnar Tryggestad,Aalesund
1983,Leif Erik Meese,Kristiansund
1983,Kåre Strand,Molde
1983,Sigbjørn Spjelkavik,Aalesund
1980,Kåre Bloch jr,Kristiansund
1980,Gunnar Bøe,Molde
1980,Reidulf Hjellen,Aalesund
1977,Thor Aae,Kristiansund
1977,Kjell Røsok,Molde
1977,Herlof Gresdal,Aalesund
1974,Leif Ulvund,Kristiansund
1974,Sigurd Mjelva,Molde
1974,Sverre Botten,Aalesund
1971,Knut Ulvund,Kristiansund
1971,Ivar Horsgård,Molde
1971,Salamon Molnes,Aalesund
1968,Ernst A Meese,Kristiansund
1968,Endre Røsok,Molde
1968,Rolf Spjelkavik,Aalesund
